run,engine,disks,key_bytes,value_bytes,clients,repeat,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,physical_reads,physical_read_bytes,p50_us,p99_us,p999_us,cpu_cores,cpu_seconds,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops
matrix-r2-v2-d20-k16-v1024,v2,20,16,1024,640,1,49920557,5.000445939,9983221.018480448,9.520741480331848,38.08296592132739,9983088.830270024,49919896,204474601472,61.695,107.263,136.959,19.997866234305867,99.99824899999999,2.0031477012566183,11315.67578125,4.0,491441.169443268,516391.3441920725
matrix-r2-v2-d20-k16-v4096,v2,20,16,4096,640,1,43549678,5.00039416,8709249.032480272,33.22314846984967,66.44629693969934,8709203.236090492,43549449,356758962176,69.887,123.583,157.951,19.998229099603623,99.99902800000001,2.2962059099495526,11316.5859375,2.0,427727.08141871763,453627.2396574433
matrix-r2-v2-d20-k16-v4194304,v2,20,16,4194304,640,1,294780,5.008799617,58852.424241430774,229.89228219308896,230.11678637491815,1942129.9999672156,9727740,1237604352000,10280.959,21069.823,26312.703,19.962031154260092,99.98581400000002,339.1879164122397,10340.60546875,1.0009765625,95261.74662299332,98331.94331199773
matrix-r2-v2-d20-k16-v65536,v2,20,16,65536,640,1,15345004,5.000867508,3068468.4158203057,187.28444920778233,198.98972728326873,3068468.4158203057,15345004,1068503318528,183.295,549.887,826.879,19.99772936195933,100.00599499999998,6.517169692494051,10387.12109375,1.0625,152037.4212641508,154516.7910895191
matrix-r3-foyer-d20-k16-v100,foyer,20,16,100,640,1,2920197,5.001125227,583907.9941918838,0.05438066964893452,2.227001265015764,583785.0218662401,2919582,11958812672,1059.839,2109.439,2559.999,52.40250285778337,262.071479,89.74445182979093,584.5234375,40.952075055210315,27954.309011346817,31047.812832541975
matrix-r3-foyer-d20-k16-v1024,foyer,20,16,1024,640,1,2969038,5.000936888,593696.354601946,0.5661929651278934,2.264355373610483,593576.577045577,2968439,12158943232,1038.847,2065.407,2478.079,52.56316644002408,262.86507800000004,88.53543740430403,584.2890625,3.9992644082022526,28690.02413213418,31351.725388940762
matrix-r3-foyer-d20-k16-v4096,foyer,20,16,4096,640,1,3032913,5.000870026,606477.0698361677,2.3135264199682912,4.626117638896895,606347.0924529083,3032263,24840601600,1018.879,1993.727,2379.775,52.53500303628967,262.720722,86.62323053777014,651.8359375,1.9995957681608407,29068.141992139026,32147.406184157444
matrix-r3-foyer-d20-k16-v4194304,foyer,20,16,4194304,640,1,51040,5.07767902,10051.836636180284,39.26498686007923,38.85901295472498,328063.2732866206,1665800,211863859200,58753.023,168427.519,226099.199,18.834290750422415,95.63448299999995,1873.7163597178671,15889.671875,0.9896606636645279,14602.143953557743,20167.481953201524
matrix-r3-foyer-d20-k16-v65536,foyer,20,16,65536,640,1,3202103,5.000873565,640308.7297409008,39.0813433679749,41.398685232844805,638377.4671575805,3192445,222296330240,970.239,1758.207,2099.199,53.79827874132626,269.03838999999994,84.01928045412653,934.203125,1.0592953482445755,30603.253213821252,33540.140101502446
matrix-r3-v1-d20-k16-v100,v1,20,16,100,640,1,49934790,5.000475853,9986007.62566266,0.9300194332061951,38.09359598412575,9984982.723203242,49929665,204532899840,61.727,112.319,147.199,19.99811196768517,100.000076,2.0026133283027723,11264.99609375,40.96,492653.31388852524,513790.3022686589
matrix-r3-v1-d20-k16-v1024,v1,20,16,1024,640,1,49942663,5.000462835,9987608.077083128,9.524925305445793,38.09970122178317,9987468.689985773,49941966,204565147648,61.695,107.199,137.215,19.99800924427828,99.99930199999999,2.0022821370178034,11264.99609375,4.0,491466.7064013885,516039.6317594069
matrix-r3-v1-d20-k16-v4096,v1,20,16,4096,640,1,43630058,5.000395412,8725321.580628633,33.28446037532285,66.5689207506457,8725277.984076353,43629840,357417435136,69.759,123.455,157.823,19.998319484899174,99.99950500000003,2.2919865245194044,11264.99609375,2.0,427874.36266850174,453389.94483502663
matrix-r3-v1-d20-k16-v4194304,v1,20,16,4194304,640,1,294555,5.009149185,58803.39936411776,229.700778766085,229.92509593284876,1940512.179015886,9720315,1236659712000,10313.727,20922.367,26476.543,19.966293138063126,100.014141,339.5431786932831,10334.6953125,1.0009765625,95103.57595787996,98311.90523825455
